Name,Pricing
"Mi A2 (Black, 64 GB)","₹10,599"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹12,999"
"Redmi 8 (Ruby Red, 64 GB)","₹9,499"
"Redmi Note 7 Pro (Astro Moonlight White, 128 GB)","₹13,999"
"Redmi Note 8 (Cosmic Purple, 128 GB)","₹15,890"
"Redmi Note 7 Pro (Neptune Blue, 128 GB)","₹13,999"
"Redmi Note 7S (Onyx Black, 64 GB)","₹11,999"
"Redmi Note 6 Pro (Black, 64 GB)","₹11,999"
"Redmi Note 7 Pro (Space Black, 128 GB)","₹13,999"
"Redmi Note 7 Pro (Nebula Red, 128 GB)","₹13,999"
"Redmi Note 7S (Sapphire Blue, 64 GB)","₹11,999"
"Redmi Note 6 Pro (Red, 64 GB)","₹11,999"
"Redmi Note 8 (Neptune Blue, 128 GB)","₹15,799"
"Redmi Note 8 (Space Black, 128 GB)","₹14,999"
"Redmi Note 7 Pro (Space Black, 64 GB)","₹10,999"
"Mi A3 (More Than White, 128 GB)","₹14,999"
"Redmi Note 5 Pro (Gold, 64 GB)","₹12,999"
"Mi A3 (More Than White, 64 GB)","₹12,999"
"Mi A3 (Not just Blue, 64 GB)","₹12,999"
"Redmi Note 5 (Black, 64 GB)","₹11,999"
"Mi A3 (Not just Blue, 128 GB)","₹14,999"
"Mi A3 (Kind of Grey, 64 GB)","₹12,999"
"Redmi K20 Pro (Flame Red, 128 GB)","₹26,999"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹12,999"
"Redmi Note 3 (Gold, 32 GB)","₹11,999"
"Redmi K20 (Flame Red, 128 GB)","₹24,999"
"Redmi Note 5 Pro (Gold, 64 GB)","₹13,999"
"Mi Mix 2 (Black, 128 GB)","₹29,999"
"Mi A2 (Lake Blue, 128 GB)","₹16,899"
"Redmi K20 (Carbon Black, 128 GB)","₹24,999"
"Redmi Note 5 (Rose Gold, 32 GB)","₹10,999"
"Redmi 7 (Lunar Red, 32 GB)","₹7,999"
"Mi 4i (Yellow, 16 GB)","₹12,999"
"Redmi K20 (Pearl White, 128 GB)","₹24,999"
"Redmi K20 (Glacier Blue, 64 GB)","₹21,999"
"MI3 (Metallic Grey, 16 GB)","₹13,999"
"Redmi K20 (Pearl White, 64 GB)","₹21,999"
"Redmi 7 (Comet Blue, 32 GB)","₹7,995"
"Mi A2 (Gold, 128 GB)","₹16,899"
"Redmi Note 8 (Moonlight White, 64 GB)","₹12,999"
"Redmi Note 8 (Neptune Blue, 64 GB)","₹12,993"
"Redmi Y2 (Dark Grey, 64 GB)","₹11,500"
"Redmi Y3 (Prime Black, 64 GB)","₹12,999"
"Redmi Y3 (Elegant Blue, 64 GB)","₹12,999"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,298"
"Redmi Go (Blue, 16 GB)","₹6,500"
"Redmi Note 6 Pro (Rose Gold, 64 GB)","₹11,999"
"Mi A2 (Red, 64 GB)","₹10,599"
"Redmi Note 4 (Dark Grey, 64 GB)","₹9,990"
"Redmi Note 4 (Black, 64 GB)","₹9,990"
"Redmi 6 (Gold, 32 GB)","₹7,990"
"Mi A1 (Red, 64 GB)","₹14,990"
"Mi A2 (Rose Gold, 64 GB)","₹10,990"
"Redmi Note 8 Pro (Shadow Black, 64 GB)","₹15,999"
"Redmi Note 8 Pro (Electric Blue, 128 GB)","₹16,999"
"Redmi Note 8 Pro (Electric Blue, 64 GB)","₹15,999"
"Redmi Note 8 Pro (Halo White, 64 GB)","₹15,999"
"Redmi Note 8 Pro (Halo White, 128 GB)","₹16,999"
"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹18,999"
"Redmi Note 8 Pro (Halo White, 128 GB)","₹18,999"
"Redmi Note 8 Pro (Gamma Green, 128 GB)","₹18,999"
"Redmi Note 8 Pro (Gamma Green, 128 GB)","₹17,990"
"Redmi Note 8 Pro (Gamma Green, 64 GB)","₹17,299"
"Redmi Note 8 Pro (Shadow Black, 128 GB)","₹16,999"
"Redmi Note 8 Pro (Electric Blue, 128 GB)","₹20,000"
xiaomi Qin 1S,"₹8,099"
"iVooMi iv 505(Me5) (Champagne/ Champagne Gold, 16 GB)","₹5,200"
"iVooMi Me3S (Champagne Gold, 32 GB)","₹7,800"
"iVooMi Me3 (Midnight Black, 16 GB)","₹6,800"
"iVooMi Me3S (Midnight Black, 32 GB)","₹7,800"
"iVooMi Me3S (Teal Blue, 32 GB)","₹7,800"
"iVooMi Me1 (Carbon Black, 8 GB)","₹4,999"
"Redmi 8 (Emerald Green, 64 GB)","₹9,499"
"Redmi Note 8 (Cosmic Purple, 64 GB)","₹11,449"
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹10,999"
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹9,999"
"Redmi Y2 (Gold, 32 GB)","₹7,999"
"Redmi Note 7S (Onyx Black, 32 GB)","₹9,999"
"Redmi Y2 (Black, 64 GB)","₹8,499"
"Redmi Y2 (Blue, 32 GB)","₹7,999"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,499"
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹7,499"
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹7,399"
"Redmi Note 7 (Sapphire Blue, 64 GB)","₹11,999"
"Redmi 6 (Rose Gold, 32 GB)","₹7,999"
"Redmi 7A (Matte Blue, 32 GB)","₹6,699"
"Redmi Note 7 (Onyx Black, 32 GB)","₹9,999"
"Redmi Note 5 (Gold, 32 GB)","₹10,999"
"Redmi 7A (Matte Black, 32 GB)","₹6,699"
"Redmi Note 6 Pro (Blue, 64 GB)","₹11,999"
"Redmi 6 Pro (Black, 32 GB)","₹7,999"
"Redmi 6 Pro (Rose Gold, 32 GB)","₹7,990"
"Redmi Y2 (Rose Gold, 64 GB)","₹8,499"
"Redmi 7A (Matte Gold, 32 GB)","₹6,699"
"Redmi Y3 (Bold Red, 32 GB)","₹8,252"
"Redmi Y3 (Elegant Blue, 32 GB)","₹8,369"
"Redmi Note 7 (Ruby Red, 32 GB)","₹9,999"
"Redmi 4A (Gold, 32 GB)","₹6,999"
"Redmi 3S Prime (Gold, 32 GB)","₹8,999"
"Redmi Y1 lite (Gold, 16 GB)","₹7,499"
"Redmi Y2 (Dark Grey, 32 GB)","₹7,999"
"Redmi Y1 (Grey, 64 GB)","₹11,599"
"Redmi Y1 lite (Grey, 16 GB)","₹7,899"
"Redmi 6A (Blue, 32 GB)","₹5,976"
"Redmi 3S Prime (Silver, 32 GB)","₹8,999"
"Redmi 3S Prime (Dark Grey, 32 GB)","₹8,999"
"Redmi Note 7 (Sapphire Blue, 32 GB)","₹9,999"
"Redmi 7A (Matte Gold, 16 GB)","₹6,499"
"Redmi Note 7S (Ruby Red, 32 GB)","₹9,999"
"Redmi Note 7 (Ruby Red, 64 GB)","₹11,999"
"Redmi 6 Pro (Red, 32 GB)","₹7,984"
"Redmi K20 Pro (Glacier Blue, 256 GB)","₹29,999"
"Redmi Note 7 Pro (Nebula Red, 64 GB)","₹10,999"
"Redmi Note 5 (Blue, 64 GB)","₹9,499"
"Redmi Y1 lite (Rose Gold, 16 GB)","₹7,810"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","₹13,999"
"Redmi 4A (Dark Grey, 32 GB)","₹6,999"
"Mi 4i (Blue, 16 GB)","₹11,999"
"Redmi 4 (Black, 64 GB)","₹11,999"
"Redmi 4 (Black, 16 GB)","₹7,499"
"Redmi 5 (Rose Gold, 32 GB)","₹7,990"
"Redmi 5 (Black, 32 GB)","₹7,990"
"Redmi 5 (Lake Blue, 32 GB)","₹7,698"
"Redmi 5 (Lake Blue, 16 GB)","₹6,890"
"Redmi 5 (Black, 16 GB)","₹7,250"
"Redmi 5 (Gold, 16 GB)","₹7,150"
"Redmi 5 (Rose Gold, 16 GB)","₹7,150"
"Redmi 5 (Rose Gold, 64 GB)","₹8,320"
"Redmi Note 5 (Gold, 64 GB)","₹8,148"
"Redmi Note 5 Pro (Red, 64 GB)","₹13,999"
"Redmi 6A (Gold, 16 GB)","₹5,589"
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹16,999"
"Redmi Note 5 Pro (Blue, 64 GB)","₹13,999"
"Mi 4i (Grey, 16 GB)","₹10,999"
"Redmi 5 (Gold, 32 GB)","₹7,990"
"Redmi 5 (Lake Blue, 64 GB)","₹7,918"
"Redmi 5A (Gold, 32 GB)","₹6,999"
"Redmi Note 8 (Space Black, 32 GB)","₹10,595"
"Redmi Note 7S (Ruby Red, 64 GB)","₹11,999"
"Redmi 6A (Rose Gold, 32 GB)","₹5,742"
"Mi 4i (Grey, 32 GB)","₹14,999"
"Mi 5 (White, 32 GB)","₹24,999"
"Redmi Note 9 Pro Max (Glacier White, 128 GB)","₹16,999"
"Redmi 7 (Comet Blue, 32 GB)","₹8,290"
"Mi A1 (Gold, 64 GB)","₹14,999"
"Mi A1 (Rose Gold, 64 GB)","₹14,999"
"Redmi Note 5 (Blue, 32 GB)","₹10,999"
"Redmi Note 6 Pro (Blue, 64 GB)","₹11,999"
"Redmi Note 5 (Black, 32 GB)","₹10,999"
"Redmi 3S (Gold, 16 GB)","₹6,999"
"Redmi 6 Pro (Gold, 64 GB)","₹9,150"
"Redmi Y1 (Gold, 32 GB)","₹8,999"
"Redmi 6 (Rose Gold, 64 GB)","₹8,499"
"Redmi Go (Blue, 8 GB)","₹4,499"
"Redmi Note 4 (Lake Blue, 64 GB)","₹12,999"
"Redmi 5 (Gold, 64 GB)","₹8,585"
"Redmi 5A (Gold, 16 GB)","₹5,999"
"Redmi 5A (Rose Gold, 32 GB)","₹6,999"
"Redmi 5A (Grey, 16 GB)","₹6,499"
"Redmi 5A (Rose Gold, 16 GB)","₹5,999"
"Redmi 5A (Grey, 32 GB)","₹6,999"
"Redmi 6 (Blue, 64 GB)","₹8,499"
"Redmi 4 (Gold, 64 GB)","₹11,999"
"Redmi Y3 (Bold Red, 64 GB)","₹10,290"
"Redmi 1S (Metal Gray, 8 GB)","₹5,999"
"Redmi 6 Pro (Black, 64 GB)","₹7,900"
"Mi 10 (Twilight Grey, 256 GB)","₹58,999"
"Mi 10 (Twilight Grey, 128 GB)","₹53,999"
"iVooMi Me5 - 4G VoLTE (Black, 16 GB)","₹3,798"
"iVooMi i1 (New Edition) (Classic Black, 16 GB)","₹7,499"
"iVooMi Me3 (Teal Blue, 16 GB)","₹6,800"
"iVooMi I2 (Bronze Gold, 32 GB)","₹8,999"
"iVooMi i2 (Olive Black, 32 GB)","₹8,999"
"iVooMi Me4 (Dark Gray, 8 GB)","₹3,900"
"iVooMi Me4 (Black, 8 GB)","₹3,900"
"iVooMi i1 (New Edition) (Autumn Gold, 16 GB)","₹7,499"
"iVooMi Me1 (Sunshine Gold, 8 GB)","₹4,999"
"Spice Xlife Mi-431Q Lite (Grey, 4 GB)","₹3,236"
"Spice Smart MI-508 (Blue, 4 GB)","₹3,992"
"iVooMi i1 (New Edition) (Persian Red, 16 GB)","₹7,499"
Reinvent iMi i9,"₹1,999"
"iVooMi Me3 (Champagne Gold, 16 GB)","₹6,800"
"iVooMi i1 (Matte Red, 16 GB)","₹6,222"
Reinvent iMi X Mini,"₹1,999"
"Spice Stellar Mi-362 (Black, 2 GB)","₹2,696"
"Micromax Canvas HD Plus A190 Dual Sim - White (White, 8 GB)","₹5,950"
"Spice Xlife Mi-364 (Black & Blue, 512 MB)","₹2,805"
"Spice Stellar 361 (Black, 512 MB)","₹4,299"
"Whitecherry MI BOLT (White, 8 GB)","₹3,500"
"Spice Pinnacle FHD Mi-525 (White, 8 GB)","₹10,990"
"iVooMi Me1 (Black, 8 GB)","₹3,599"
"iVooMi Me1 (Champagne Gold, 8 GB)","₹3,599"
